No,Operasi,Volume (MB),Client Workers,Server Workers,Rata-rata Waktu (s),Rata-rata Throughput (Bps),Client Success,Client Fail
1,UPLOAD,10,1,1,5.4173,1935613.46,1,0
2,UPLOAD,10,1,5,3.5591,2946218.42,1,0
3,UPLOAD,10,1,50,3.4968,2998644.9,1,0
4,UPLOAD,10,5,1,7.9961,1313385.8,5,0
5,UPLOAD,10,5,5,7.3684,1423232.01,5,0
6,UPLOAD,10,5,50,6.9744,1503634.92,5,0
7,UPLOAD,10,50,1,61.5213,172723.37,50,0
8,UPLOAD,10,50,5,79.4237,138057.43,50,0
9,UPLOAD,10,50,50,95.5679,117812.19,50,0
10,UPLOAD,50,1,1,120.9213,433577.8,1,0
11,UPLOAD,50,1,5,101.8186,514923.37,1,0
12,UPLOAD,50,1,50,118.2159,443500.4,1,0
13,UPLOAD,50,5,1,272.3464,192589.8,5,0
14,UPLOAD,50,5,5,243.9546,214919.02,5,0
15,UPLOAD,50,5,50,272.743,192244.6,5,0
