No,Operasi,Volume (MB),Client Workers,Server Workers,Rata-rata Waktu (s),Rata-rata Throughput (Bps),Client Success,Client Fail
1,UPLOAD,10,1,1,9.3869,1117057.7,1,0
2,UPLOAD,10,1,5,9.2668,1131541.67,1,0
3,UPLOAD,10,1,50,9.489,1105048.17,1,0
4,UPLOAD,10,5,1,41.8382,250700.82,5,0
5,UPLOAD,10,5,5,44.1001,237990.4,5,0
6,UPLOAD,10,5,50,41.2385,254366.99,5,0
7,UPLOAD,10,50,1,210.6609,65226.3,50,0
8,UPLOAD,10,50,5,207.666,69652.98,50,0
