No,Operasi,Volume (MB),Client Workers,Server Workers,Rata-rata Waktu (s),Rata-rata Throughput (Bps),Client Success,Client Fail
1,UPLOAD,10,1,1,10.5622,992762.46,1,0
2,UPLOAD,10,1,5,10.5587,993091.99,1,0
3,UPLOAD,10,1,50,8.6398,1213659.76,1,0
4,UPLOAD,10,5,1,11.1682,939076.3,5,0
5,UPLOAD,10,5,5,10.1642,1032127.84,5,0
6,UPLOAD,10,5,50,12.4301,843619.79,5,0
7,UPLOAD,10,50,1,57.3391,199806.36,50,0
8,UPLOAD,10,50,5,77.8657,140093.82,50,0
9,UPLOAD,10,50,50,53.6859,205864.84,50,0
10,UPLOAD,50,1,1,194.514,269537.35,1,0
11,UPLOAD,50,1,5,199.9571,262200.19,1,0
12,UPLOAD,50,1,50,1.0622,49356492.76,1,0
